fid,iid,cid,PC1,PC2,PC3,PC4,PC5,PC6,percent.mt,CDC37
NA20515,NA20515,760,-0.0407623,-0.151595,0.122369,-0.101398,-0.0282697,-0.0777949,0.0730940628087529,0.0
HG00350,HG00350,761,-0.0438771,-0.090341,0.0601135,0.00485814,-0.113182,0.0286259,0.2918902945895409,0.0
NA11994,NA11994,762,-0.0859042,0.013716,-0.0115337,0.094445,0.0541684,0.0293255,0.5624025521216868,0.0
HG01694,HG01694,763,0.23687,-0.0583204,-0.0790984,0.0770998,-0.0200624,0.0370989,0.6095051620615807,1.0
NA12006,NA12006,764,-0.0724132,0.163063,0.0619221,-0.0503014,-0.0148985,-0.0233177,0.5170471677720654,1.0
NA12058,NA12058,765,-0.0616015,0.0480476,0.0478979,-0.0783481,-0.0443173,0.042133,0.395289855054783,1.0
HG00157,HG00157,766,0.358732,0.282947,0.0741495,0.107644,0.106763,0.0431718,0.876876942178743,0.0
NA11831,NA11831,767,-0.0544425,-0.044699,0.0587276,0.153569,-0.0922498,0.041876,0.0063282937876658,0.0
NA20527,NA20527,768,-0.0535579,-0.130478,0.0903802,0.185125,0.0194621,-0.0440233,0.2422316924807287,1.0
NA12342,NA12342,769,-0.0918455,-0.0227421,-0.1557,-0.0499163,0.092139,0.0714606,0.4081600453227831,0.0
NA12286,NA12286,770,-0.0349643,0.0405583,0.0913459,0.0372232,0.110179,-0.0444328,0.4016844816935248,0.0
HG01766,HG01766,771,-0.0171831,-0.142198,-0.204733,-0.10007,0.039118,0.195759,0.3096792897825865,1.0
NA20815,NA20815,772,0.213486,-0.00425593,-0.16849,-0.000945029,-0.115203,0.087417,0.5382878125590388,0.0
NA12761,NA12761,773,-0.0721329,0.0635604,0.112819,-3.41985e-05,-0.00318633,-0.0396784,0.1618375926743259,0.0
NA12058,NA12058,774,-0.0616015,0.0480476,0.0478979,-0.0783481,-0.0443173,0.042133,0.4680361817211448,0.0
NA12282,NA12282,775,-0.0689231,0.112057,0.0689753,-0.120515,-0.0528392,0.0452239,0.9735997442767732,2.0
NA11920,NA11920,776,0.154122,-0.0142864,0.0476777,0.0931472,0.05589,0.0874918,0.0659632550946257,0.0
HG01625,HG01625,777,-0.0427423,-0.106628,0.0379249,-0.0258646,0.00684457,-0.114104,0.791055603273546,0.0
HG01781,HG01781,778,0.199429,-0.0480964,0.136584,-0.139517,0.116816,-0.020169,0.5287336339196353,0.0
HG01513,HG01513,779,-0.0247148,-0.0359307,0.0133364,-0.0419892,-0.00987428,0.0282169,0.9976984232618,0.0
HG00271,HG00271,780,0.0110848,0.0276034,-0.0125053,0.177449,-0.210184,0.0173064,0.0439182819695896,0.0
HG01513,HG01513,781,-0.0247148,-0.0359307,0.0133364,-0.0419892,-0.00987428,0.0282169,0.2915807638220518,0.0
HG00362,HG00362,782,0.100662,-0.036772,0.0339203,-0.191777,0.182583,0.179047,0.1435088468618118,0.0
HG01757,HG01757,783,0.0166321,0.19066,0.0411253,-0.0180006,0.010614,-0.0325474,0.618951493244681,0.0
NA20507,NA20507,784,-0.0817298,0.149318,0.0462333,-0.0325454,0.000331279,-0.0731193,0.1905386099286167,0.0
NA12154,NA12154,785,-0.0616887,-0.0467905,0.0665983,0.0234178,-0.00023094,0.00283652,0.6074862076868547,1.0
NA11840,NA11840,786,-0.0724317,0.12983,0.0917499,-0.0542542,-0.0543718,-0.0639938,0.8308608849333651,0.0
NA12342,NA12342,787,-0.0918455,-0.0227421,-0.1557,-0.0499163,0.092139,0.0714606,0.5979350658121045,0.0
NA12717,NA12717,788,-0.0517463,-0.101771,0.0393673,0.0851803,-0.0545942,0.104938,0.2196625755721684,1.0
NA06994,NA06994,789,-0.0753484,-0.0128205,-0.0901066,0.115616,0.134931,0.0329246,0.596992729762,0.0
HG01697,HG01697,790,0.0477548,-0.19984,0.0157704,0.108891,-0.170609,-0.0180724,0.6646181975254444,0.0
HG00257,HG00257,791,0.226051,0.178814,-0.0190135,0.104823,-0.135627,-0.00680127,0.1332429287029108,0.0
NA12282,NA12282,792,-0.0689231,0.112057,0.0689753,-0.120515,-0.0528392,0.0452239,0.8755658029358923,0.0
HG00244,HG00244,793,-0.0673212,0.0153288,0.104511,0.00960455,0.0934578,-0.142927,0.1759085512676976,0.0
NA20531,NA20531,794,-0.0383943,0.0448953,-0.21774,-0.0823379,-0.0598276,0.0214,0.5597773852743267,0.0
NA12830,NA12830,795,-0.076611,0.178561,0.0489977,-0.0399268,-0.0109122,-0.0855241,0.9762229413597814,0.0
NA20767,NA20767,796,0.0473759,-0.0643776,-0.0161766,-0.238835,-0.195075,-0.0915127,0.8875313169528254,2.0
HG01781,HG01781,797,0.199429,-0.0480964,0.136584,-0.139517,0.116816,-0.020169,0.5287336339196353,0.0
HG00129,HG00129,798,-0.0485976,-0.00237654,0.086968,-0.108024,0.00436165,-0.0286327,0.8936815710217233,1.0
HG01516,HG01516,799,0.275368,-0.0250241,-0.0207564,-0.101836,-0.114255,0.123375,0.3780043627324457,1.0
NA12761,NA12761,800,-0.0721329,0.0635604,0.112819,-3.41985e-05,-0.00318633,-0.0396784,0.6621074650705044,0.0
HG00243,HG00243,801,-0.0168739,0.0768952,-0.00292851,-0.0261252,-0.044684,0.100262,0.1384527295379484,0.0
HG01700,HG01700,802,-0.080625,-0.0932277,-0.303972,-0.0140706,0.256449,-0.0508315,0.4216416779295688,0.0
HG00371,HG00371,803,0.279181,0.0181408,0.0292064,0.00501127,0.19155,0.284802,0.7747109758705173,0.0
NA11840,NA11840,804,-0.0724317,0.12983,0.0917499,-0.0542542,-0.0543718,-0.0639938,0.8707005180808292,0.0
NA20767,NA20767,805,0.0473759,-0.0643776,-0.0161766,-0.238835,-0.195075,-0.0915127,0.396436821079609,0.0
NA11831,NA11831,806,-0.0544425,-0.044699,0.0587276,0.153569,-0.0922498,0.041876,0.1707537197925304,1.0
NA20514,NA20514,807,0.175195,0.0122437,-0.0332475,0.0776564,0.0712866,-0.0487785,0.0420495420639192,1.0
HG00310,HG00310,808,-0.0923398,0.129945,0.0317511,0.0836995,-0.0820364,0.0789914,0.7411793181994861,0.0
HG00365,HG00365,809,-0.0738082,0.0718821,0.0154645,0.115498,-0.0636203,0.152563,0.9024646038090964,0.0
HG00371,HG00371,810,0.279181,0.0181408,0.0292064,0.00501127,0.19155,0.284802,0.1281669073298023,0.0
NA12775,NA12775,811,-0.0619432,-0.075063,0.0902924,0.082639,0.1048,-0.0613434,0.513903125274506,2.0
NA12342,NA12342,812,-0.0918455,-0.0227421,-0.1557,-0.0499163,0.092139,0.0714606,0.3126462834896841,0.0
HG01781,HG01781,813,0.199429,-0.0480964,0.136584,-0.139517,0.116816,-0.020169,0.8707381343234916,1.0
HG00334,HG00334,814,0.0930798,0.0117403,0.0728376,-0.12399,-0.000393564,0.036411,0.5715230441733942,2.0
NA20815,NA20815,815,0.213486,-0.00425593,-0.16849,-0.000945029,-0.115203,0.087417,0.2229357283638221,1.0
HG00308,HG00308,816,-0.0817021,0.0931623,-0.112903,0.0716068,-0.00341533,0.164967,0.2775252463409842,0.0
NA07357,NA07357,817,0.240723,-0.016191,0.0865395,-0.0537512,-0.0165444,-0.189756,0.8010406244112959,0.0
NA06994,NA06994,818,-0.0753484,-0.0128205,-0.0901066,0.115616,0.134931,0.0329246,0.4208365001003129,0.0
HG00285,HG00285,819,0.0691834,-0.0880445,0.0973072,0.144263,0.196017,0.0639145,0.3740116759366182,0.0
NA12830,NA12830,820,-0.076611,0.178561,0.0489977,-0.0399268,-0.0109122,-0.0855241,0.4138790500554838,0.0
NA12830,NA12830,821,-0.076611,0.178561,0.0489977,-0.0399268,-0.0109122,-0.0855241,0.7465874088036335,0.0
HG01699,HG01699,822,-0.095075,0.142955,-0.0189163,-0.014877,0.0473177,0.01698,0.7035321538637184,0.0
HG00285,HG00285,823,0.0691834,-0.0880445,0.0973072,0.144263,0.196017,0.0639145,0.2984931732881071,0.0
HG01777,HG01777,824,-0.0244176,0.00694426,0.0988583,-0.11504,-0.000977297,-0.043182,0.6645336159462424,1.0
NA12286,NA12286,825,-0.0349643,0.0405583,0.0913459,0.0372232,0.110179,-0.0444328,0.7291101451694942,0.0
HG00285,HG00285,826,0.0691834,-0.0880445,0.0973072,0.144263,0.196017,0.0639145,0.8115995823448108,0.0
HG00361,HG00361,827,-0.0115588,-0.0778735,0.00329085,0.00198179,-0.0771276,0.152914,0.5772514044233807,0.0
HG00118,HG00118,828,-0.0199218,0.0961853,0.0194594,-0.0229203,0.0108803,-0.188245,0.6839910638707537,1.0
NA06994,NA06994,829,-0.0753484,-0.0128205,-0.0901066,0.115616,0.134931,0.0329246,0.8479407457888813,1.0
HG00362,HG00362,830,0.100662,-0.036772,0.0339203,-0.191777,0.182583,0.179047,0.9401869264102238,1.0
NA11831,NA11831,831,-0.0544425,-0.044699,0.0587276,0.153569,-0.0922498,0.041876,0.1020744216390469,0.0
NA20832,NA20832,832,0.0156503,-0.0859207,-0.368896,0.0170902,0.111468,0.096163,0.4219932950612353,0.0
HG01615,HG01615,833,-0.077007,0.0942175,0.00732509,-0.0569762,-0.103013,0.0928592,0.0998040957822971,1.0
HG00306,HG00306,834,0.0471372,-0.213574,-0.0108543,0.123529,-0.171049,-0.00950166,0.8308759411511729,1.0
HG00337,HG00337,835,0.130059,-0.167487,0.0361777,-0.157907,0.0120185,0.0597766,0.8023598671490312,0.0
NA11994,NA11994,836,-0.0859042,0.013716,-0.0115337,0.094445,0.0541684,0.0293255,0.0461564619176232,0.0
HG01694,HG01694,837,0.23687,-0.0583204,-0.0790984,0.0770998,-0.0200624,0.0370989,0.3673926126829022,0.0
NA11831,NA11831,838,-0.0544425,-0.044699,0.0587276,0.153569,-0.0922498,0.041876,0.5773379140038472,0.0
NA20506,NA20506,839,-0.0349814,-0.114181,0.115726,-0.0489657,0.0491253,-0.0383884,0.5470853366182233,0.0
HG01694,HG01694,840,0.23687,-0.0583204,-0.0790984,0.0770998,-0.0200624,0.0370989,0.5293692513729635,1.0
HG00257,HG00257,841,0.226051,0.178814,-0.0190135,0.104823,-0.135627,-0.00680127,0.8129158306701926,0.0
HG01678,HG01678,842,-0.0569931,-0.0415254,0.0622392,-0.0242724,-0.0817304,0.00388884,0.6057788779739128,0.0
NA20506,NA20506,843,-0.0349814,-0.114181,0.115726,-0.0489657,0.0491253,-0.0383884,0.3947584136293889,0.0
NA20512,NA20512,844,0.0235139,-0.0491065,-0.00230655,0.197163,-0.102848,0.0037875,0.0329579346599688,1.0
HG00105,HG00105,845,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.8229750013344491,0.0
NA20587,NA20587,846,-0.0655376,-0.0169823,-0.205379,-0.0807323,0.0621147,0.0205377,0.664160458769492,1.0
HG01700,HG01700,847,-0.080625,-0.0932277,-0.303972,-0.0140706,0.256449,-0.0508315,0.0753477691748273,0.0
HG00285,HG00285,848,0.0691834,-0.0880445,0.0973072,0.144263,0.196017,0.0639145,0.7480079425106085,0.0
NA07357,NA07357,849,0.240723,-0.016191,0.0865395,-0.0537512,-0.0165444,-0.189756,0.4322986086751107,3.0
NA12717,NA12717,850,-0.0517463,-0.101771,0.0393673,0.0851803,-0.0545942,0.104938,0.418047817919967,1.0
HG00244,HG00244,851,-0.0673212,0.0153288,0.104511,0.00960455,0.0934578,-0.142927,0.3392118581939226,0.0
NA12058,NA12058,852,-0.0616015,0.0480476,0.0478979,-0.0783481,-0.0443173,0.042133,0.5014398620384097,0.0
HG00149,HG00149,853,-0.0854448,0.113881,0.0392969,-0.00987574,0.0650653,-0.0853253,0.9754906574523664,0.0
NA20832,NA20832,854,0.0156503,-0.0859207,-0.368896,0.0170902,0.111468,0.096163,0.1600120393337473,1.0
NA12775,NA12775,855,-0.0619432,-0.075063,0.0902924,0.082639,0.1048,-0.0613434,0.2792811807774694,1.0
HG02215,HG02215,856,-0.0334996,-0.166664,0.0531433,0.0656982,0.0346214,0.0314092,0.3996291119925499,0.0
HG00362,HG00362,857,0.100662,-0.036772,0.0339203,-0.191777,0.182583,0.179047,0.3295093834926814,0.0
HG00111,HG00111,858,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.0003576880984316,0.0
HG00379,HG00379,859,-0.0550815,0.00508993,0.0246167,0.0694473,-0.0409467,0.0480571,0.7462110330140541,0.0
HG00306,HG00306,860,0.0471372,-0.213574,-0.0108543,0.123529,-0.171049,-0.00950166,0.2526559598167536,1.0
HG00111,HG00111,861,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.5009145238697802,0.0
HG00366,HG00366,862,-0.0667231,-0.0450772,-0.0374235,0.152762,0.112587,-0.0854718,0.7209318166063144,0.0
NA12004,NA12004,863,-0.0578375,-0.0123527,0.108871,-0.0423192,-0.030312,-0.0295321,0.2191053992202973,0.0
HG01630,HG01630,864,-0.0463429,-0.0514446,0.0167619,0.186189,-0.034876,-0.000161664,0.8338221029010167,0.0
HG00362,HG00362,865,0.100662,-0.036772,0.0339203,-0.191777,0.182583,0.179047,0.4699145008341654,1.0
HG00183,HG00183,866,0.0390293,0.0493622,-0.283514,0.088995,-0.0557012,-0.271591,0.444177210538756,0.0
NA20506,NA20506,867,-0.0349814,-0.114181,0.115726,-0.0489657,0.0491253,-0.0383884,0.5066423160422203,0.0
NA20752,NA20752,868,-0.0589119,0.000330428,-0.127867,0.126514,-0.0160082,0.0971169,0.954759795760602,0.0
HG01785,HG01785,869,-0.0835305,0.0647057,0.043122,0.0432942,-0.0428764,0.0347841,0.6022836320371476,0.0
HG01630,HG01630,870,-0.0463429,-0.0514446,0.0167619,0.186189,-0.034876,-0.000161664,0.2513159129426813,0.0
HG00379,HG00379,871,-0.0550815,0.00508993,0.0246167,0.0694473,-0.0409467,0.0480571,0.7943047900603939,1.0
NA20527,NA20527,872,-0.0535579,-0.130478,0.0903802,0.185125,0.0194621,-0.0440233,0.4366111475566877,0.0
HG00157,HG00157,873,0.358732,0.282947,0.0741495,0.107644,0.106763,0.0431718,0.2782882554658822,0.0
NA20512,NA20512,874,0.0235139,-0.0491065,-0.00230655,0.197163,-0.102848,0.0037875,0.596821691933625,0.0
HG00260,HG00260,875,0.157644,0.235508,0.0556165,0.0111107,-0.000892953,-0.0152822,0.3035213099845845,0.0
HG00278,HG00278,876,0.0916658,-0.21638,0.00920549,-0.160787,-0.209785,-0.15798,0.8872440590903411,0.0
NA12717,NA12717,877,-0.0517463,-0.101771,0.0393673,0.0851803,-0.0545942,0.104938,0.301303072965038,0.0
NA20531,NA20531,878,-0.0383943,0.0448953,-0.21774,-0.0823379,-0.0598276,0.0214,0.0578453412602394,1.0
HG00185,HG00185,879,-0.072628,-0.0267712,0.0185884,0.0354522,0.139574,-0.172012,0.6807829445878204,0.0
HG00129,HG00129,880,-0.0485976,-0.00237654,0.086968,-0.108024,0.00436165,-0.0286327,0.8640365046335355,2.0
HG00149,HG00149,881,-0.0854448,0.113881,0.0392969,-0.00987574,0.0650653,-0.0853253,0.5109411871640648,0.0
HG00334,HG00334,882,0.0930798,0.0117403,0.0728376,-0.12399,-0.000393564,0.036411,0.1244890454688023,0.0
NA12282,NA12282,883,-0.0689231,0.112057,0.0689753,-0.120515,-0.0528392,0.0452239,0.5291455893372027,2.0
NA11995,NA11995,884,0.0145378,-0.193289,0.0523685,-0.156135,-0.0432029,0.113223,0.8664189113110348,0.0
HG00118,HG00118,885,-0.0199218,0.0961853,0.0194594,-0.0229203,0.0108803,-0.188245,0.9504487176366276,0.0
HG00173,HG00173,886,-0.0547659,-0.121379,-0.00686053,-0.104077,0.00537518,0.146382,0.4448810368679431,0.0
HG01679,HG01679,887,0.12125,0.0567451,-0.013786,0.015252,0.249288,-0.0552859,0.0065201906616978,0.0
NA20527,NA20527,888,-0.0535579,-0.130478,0.0903802,0.185125,0.0194621,-0.0440233,0.8821096982110228,1.0
NA11995,NA11995,889,0.0145378,-0.193289,0.0523685,-0.156135,-0.0432029,0.113223,0.7371154371349149,0.0
HG00110,HG00110,890,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.1152572295013447,0.0
NA11840,NA11840,891,-0.0724317,0.12983,0.0917499,-0.0542542,-0.0543718,-0.0639938,0.651118782826784,0.0
HG01757,HG01757,892,0.0166321,0.19066,0.0411253,-0.0180006,0.010614,-0.0325474,0.4600707683515382,0.0
NA20752,NA20752,893,-0.0589119,0.000330428,-0.127867,0.126514,-0.0160082,0.0971169,0.8194633572564997,1.0
HG02215,HG02215,894,-0.0334996,-0.166664,0.0531433,0.0656982,0.0346214,0.0314092,0.9340224755237851,0.0
HG00260,HG00260,895,0.157644,0.235508,0.0556165,0.0111107,-0.000892953,-0.0152822,0.3326993411002749,0.0
HG00111,HG00111,896,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.0975286636180471,1.0
HG00271,HG00271,897,0.0110848,0.0276034,-0.0125053,0.177449,-0.210184,0.0173064,0.9868546587190622,0.0
HG00105,HG00105,898,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.35271272088749,0.0
NA12342,NA12342,899,-0.0918455,-0.0227421,-0.1557,-0.0499163,0.092139,0.0714606,0.4098185871897851,0.0
NA20587,NA20587,900,-0.0655376,-0.0169823,-0.205379,-0.0807323,0.0621147,0.0205377,0.3616808450589955,0.0
HG01697,HG01697,901,0.0477548,-0.19984,0.0157704,0.108891,-0.170609,-0.0180724,0.6646181975254444,0.0
HG00285,HG00285,902,0.0691834,-0.0880445,0.0973072,0.144263,0.196017,0.0639145,0.719797182907485,0.0
HG01785,HG01785,903,-0.0835305,0.0647057,0.043122,0.0432942,-0.0428764,0.0347841,0.9068480734659544,0.0
NA20812,NA20812,904,-0.0490135,0.0341235,-0.122448,-0.121843,0.133749,-0.0561693,0.3818179633745735,0.0
HG01694,HG01694,905,0.23687,-0.0583204,-0.0790984,0.0770998,-0.0200624,0.0370989,0.9925761628954748,0.0
NA07357,NA07357,906,0.240723,-0.016191,0.0865395,-0.0537512,-0.0165444,-0.189756,0.1978941359604238,0.0
NA20512,NA20512,907,0.0235139,-0.0491065,-0.00230655,0.197163,-0.102848,0.0037875,0.5227369372417371,0.0
NA20514,NA20514,908,0.175195,0.0122437,-0.0332475,0.0776564,0.0712866,-0.0487785,0.8675560685933774,1.0
HG00119,HG00119,909,0.0221989,-0.0245169,0.032194,-0.000922455,-0.0802616,0.0225189,0.9518190981066288,0.0
NA20815,NA20815,910,0.213486,-0.00425593,-0.16849,-0.000945029,-0.115203,0.087417,0.1815186106333827,0.0
HG01766,HG01766,911,-0.0171831,-0.142198,-0.204733,-0.10007,0.039118,0.195759,0.0908888791751276,1.0
HG00366,HG00366,912,-0.0667231,-0.0450772,-0.0374235,0.152762,0.112587,-0.0854718,0.6115659104553391,0.0
HG01680,HG01680,913,-0.0325225,-0.0322554,-0.0271042,0.0569523,-0.140193,0.0208776,0.4074630134959781,0.0
HG00350,HG00350,914,-0.0438771,-0.090341,0.0601135,0.00485814,-0.113182,0.0286259,0.2156881979507586,0.0
HG00183,HG00183,915,0.0390293,0.0493622,-0.283514,0.088995,-0.0557012,-0.271591,0.9082004078308016,0.0
NA20515,NA20515,916,-0.0407623,-0.151595,0.122369,-0.101398,-0.0282697,-0.0777949,0.285905628108568,0.0
HG00105,HG00105,917,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.6318710238305587,2.0
HG00149,HG00149,918,-0.0854448,0.113881,0.0392969,-0.00987574,0.0650653,-0.0853253,0.5109411871640648,0.0
HG01679,HG01679,919,0.12125,0.0567451,-0.013786,0.015252,0.249288,-0.0552859,0.0465963112794654,0.0
HG00334,HG00334,920,0.0930798,0.0117403,0.0728376,-0.12399,-0.000393564,0.036411,0.9277733336214952,0.0
HG00243,HG00243,921,-0.0168739,0.0768952,-0.00292851,-0.0261252,-0.044684,0.100262,0.8345259829981946,0.0
NA11840,NA11840,922,-0.0724317,0.12983,0.0917499,-0.0542542,-0.0543718,-0.0639938,0.9567548942600675,0.0
HG01699,HG01699,923,-0.095075,0.142955,-0.0189163,-0.014877,0.0473177,0.01698,0.6569651043973009,0.0
HG00334,HG00334,924,0.0930798,0.0117403,0.0728376,-0.12399,-0.000393564,0.036411,0.3919762207384607,1.0
NA20515,NA20515,925,-0.0407623,-0.151595,0.122369,-0.101398,-0.0282697,-0.0777949,0.9302885290409416,0.0
HG00365,HG00365,926,-0.0738082,0.0718821,0.0154645,0.115498,-0.0636203,0.152563,0.916005161599535,0.0
HG01521,HG01521,927,-0.0350089,-0.0477871,0.0565616,-0.123681,0.0320267,-0.118881,0.375121680750709,0.0
HG00129,HG00129,928,-0.0485976,-0.00237654,0.086968,-0.108024,0.00436165,-0.0286327,0.3741664410731098,1.0
HG00350,HG00350,929,-0.0438771,-0.090341,0.0601135,0.00485814,-0.113182,0.0286259,0.4998503653347653,0.0
NA12342,NA12342,930,-0.0918455,-0.0227421,-0.1557,-0.0499163,0.092139,0.0714606,0.4909924038569572,0.0
NA12006,NA12006,931,-0.0724132,0.163063,0.0619221,-0.0503014,-0.0148985,-0.0233177,0.8969231572481707,0.0
HG00308,HG00308,932,-0.0817021,0.0931623,-0.112903,0.0716068,-0.00341533,0.164967,0.6423620439633986,0.0
HG00271,HG00271,933,0.0110848,0.0276034,-0.0125053,0.177449,-0.210184,0.0173064,0.4352132817909179,1.0
NA20587,NA20587,934,-0.0655376,-0.0169823,-0.205379,-0.0807323,0.0621147,0.0205377,0.6124422505521591,1.0
NA11933,NA11933,935,-0.0902288,0.110925,-0.0501546,0.0727031,0.0160781,0.110045,0.3502001072414369,0.0
HG01619,HG01619,936,-0.0507085,-0.0471243,0.0831343,-0.176431,-0.0129744,0.0695195,0.0408095576885384,0.0
HG02239,HG02239,937,-0.067103,0.0966702,0.020019,-0.109488,-0.0673061,0.0148621,0.4870137734963933,0.0
HG00119,HG00119,938,0.0221989,-0.0245169,0.032194,-0.000922455,-0.0802616,0.0225189,0.4859730724672187,0.0
HG00337,HG00337,939,0.130059,-0.167487,0.0361777,-0.157907,0.0120185,0.0597766,0.3938517469378766,0.0
HG00107,HG00107,940,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.4824019309203277,0.0
NA12717,NA12717,941,-0.0517463,-0.101771,0.0393673,0.0851803,-0.0545942,0.104938,0.7742614021817487,1.0
HG00260,HG00260,942,0.157644,0.235508,0.0556165,0.0111107,-0.000892953,-0.0152822,0.6403126804327516,0.0
HG00285,HG00285,943,0.0691834,-0.0880445,0.0973072,0.144263,0.196017,0.0639145,0.3189339797289138,0.0
HG00118,HG00118,944,-0.0199218,0.0961853,0.0194594,-0.0229203,0.0108803,-0.188245,0.8245800035502724,0.0
HG01757,HG01757,945,0.0166321,0.19066,0.0411253,-0.0180006,0.010614,-0.0325474,0.1758720281214643,0.0
NA20525,NA20525,946,-0.0604244,-0.146875,0.0497016,0.169142,0.0318099,0.0778058,0.0907246218913491,1.0
NA12775,NA12775,947,-0.0619432,-0.075063,0.0902924,0.082639,0.1048,-0.0613434,0.0335604497506771,0.0
HG01699,HG01699,948,-0.095075,0.142955,-0.0189163,-0.014877,0.0473177,0.01698,0.1395266923009124,0.0
HG00334,HG00334,949,0.0930798,0.0117403,0.0728376,-0.12399,-0.000393564,0.036411,0.0234542340211353,0.0
NA20507,NA20507,950,-0.0817298,0.149318,0.0462333,-0.0325454,0.000331279,-0.0731193,0.917135553358346,0.0
NA12878,NA12878,951,-0.0532884,-0.0974422,0.125766,0.0232287,0.0138927,-0.011828,0.0711985137299779,0.0
NA07357,NA07357,952,0.240723,-0.016191,0.0865395,-0.0537512,-0.0165444,-0.189756,0.8908495085069796,0.0
NA20527,NA20527,953,-0.0535579,-0.130478,0.0903802,0.185125,0.0194621,-0.0440233,0.1179145317877391,0.0
NA20587,NA20587,954,-0.0655376,-0.0169823,-0.205379,-0.0807323,0.0621147,0.0205377,0.3390553339570307,0.0
NA12775,NA12775,955,-0.0619432,-0.075063,0.0902924,0.082639,0.1048,-0.0613434,0.8791971136444913,0.0
HG00257,HG00257,956,0.226051,0.178814,-0.0190135,0.104823,-0.135627,-0.00680127,0.3530217367433872,0.0
NA20800,NA20800,957,-0.0581381,0.0681006,-0.107146,0.0384945,0.0477333,-0.0850277,0.9463187782969482,1.0
HG00271,HG00271,958,0.0110848,0.0276034,-0.0125053,0.177449,-0.210184,0.0173064,0.2711869088305677,0.0
NA20832,NA20832,959,0.0156503,-0.0859207,-0.368896,0.0170902,0.111468,0.096163,0.7232867922470217,0.0
NA12286,NA12286,960,-0.0349643,0.0405583,0.0913459,0.0372232,0.110179,-0.0444328,0.1949604285189452,0.0
NA12154,NA12154,961,-0.0616887,-0.0467905,0.0665983,0.0234178,-0.00023094,0.00283652,0.3720801185726108,2.0
HG01513,HG01513,962,-0.0247148,-0.0359307,0.0133364,-0.0419892,-0.00987428,0.0282169,0.2118347595828179,0.0
HG01777,HG01777,963,-0.0244176,0.00694426,0.0988583,-0.11504,-0.000977297,-0.043182,0.0239425866531511,0.0
HG00119,HG00119,964,0.0221989,-0.0245169,0.032194,-0.000922455,-0.0802616,0.0225189,0.4895929485836935,0.0
HG00260,HG00260,965,0.157644,0.235508,0.0556165,0.0111107,-0.000892953,-0.0152822,0.5641644119361587,0.0
HG00366,HG00366,966,-0.0667231,-0.0450772,-0.0374235,0.152762,0.112587,-0.0854718,0.3694878415256533,1.0
HG01697,HG01697,967,0.0477548,-0.19984,0.0157704,0.108891,-0.170609,-0.0180724,0.4363363036929597,0.0
NA20527,NA20527,968,-0.0535579,-0.130478,0.0903802,0.185125,0.0194621,-0.0440233,0.2065718846672676,0.0
HG01757,HG01757,969,0.0166321,0.19066,0.0411253,-0.0180006,0.010614,-0.0325474,0.1711161111831798,0.0
NA06986,NA06986,970,-0.0920515,0.0923333,-0.0699762,-0.106664,0.0352197,0.111829,0.6036094429669273,1.0
HG00337,HG00337,971,0.130059,-0.167487,0.0361777,-0.157907,0.0120185,0.0597766,0.0793909035236893,0.0
HG02239,HG02239,972,-0.067103,0.0966702,0.020019,-0.109488,-0.0673061,0.0148621,0.2571295258363893,0.0
NA11831,NA11831,973,-0.0544425,-0.044699,0.0587276,0.153569,-0.0922498,0.041876,0.6301461798230173,1.0
NA20525,NA20525,974,-0.0604244,-0.146875,0.0497016,0.169142,0.0318099,0.0778058,0.8140269231827053,0.0
HG00365,HG00365,975,-0.0738082,0.0718821,0.0154645,0.115498,-0.0636203,0.152563,0.1411416940966342,0.0
HG00129,HG00129,976,-0.0485976,-0.00237654,0.086968,-0.108024,0.00436165,-0.0286327,0.4746924397230261,0.0
HG01785,HG01785,977,-0.0835305,0.0647057,0.043122,0.0432942,-0.0428764,0.0347841,0.1303594362986675,0.0
HG02215,HG02215,978,-0.0334996,-0.166664,0.0531433,0.0656982,0.0346214,0.0314092,0.5016089042235118,0.0
NA20752,NA20752,979,-0.0589119,0.000330428,-0.127867,0.126514,-0.0160082,0.0971169,0.6370664528236294,1.0
HG00362,HG00362,980,0.100662,-0.036772,0.0339203,-0.191777,0.182583,0.179047,0.3922415845531809,1.0
HG01678,HG01678,981,-0.0569931,-0.0415254,0.0622392,-0.0242724,-0.0817304,0.00388884,0.5070173220177863,0.0
HG01777,HG01777,982,-0.0244176,0.00694426,0.0988583,-0.11504,-0.000977297,-0.043182,0.1470408420003992,0.0
HG00366,HG00366,983,-0.0667231,-0.0450772,-0.0374235,0.152762,0.112587,-0.0854718,0.5355754723365129,1.0
HG00112,HG00112,984,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.434572726316609,1.0
